anchorMethod,assignedNumber,bboxX1,bboxX2,bboxY1,bboxY2,digitScore,explorerX,explorerY,imageX,imageY,source,status,type
pin-bottom-tip,2,1676,1703,953,991,0.642,7602.75,2460.75,1689.5,991,RDO Wildflower Reference Map C,classified,creek-plum
pin-bottom-tip,5,1749,1789,965,1010,0.672,7960.5,2370.5,1769.0,1010,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,4,934,961,974,1012,0.653,4263.75,2361.0,947.5,1012,RDO Wildflower Reference Map C,classified,wisteria
pin-bottom-tip,7,1080,1108,974,1012,0.682,4923.0,2361.0,1094.0,1012,RDO Wildflower Reference Map C,classified,texas-bluebonnet
pin-bottom-tip,6,631,659,1008,1045,0.676,2902.5,2204.25,645.0,1045,RDO Wildflower Reference Map C,classified,wild-rhubarb
pin-bottom-tip,9,398,426,1043,1082,0.802,1854.0,2028.5,412.0,1082,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,8,650,678,1046,1084,0.691,2988.0,2019.0,664.0,1084,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,7,313,340,1082,1120,0.609,1469.25,1848.0,326.5,1120,RDO Wildflower Reference Map C,classified,texas-bluebonnet
pin-bottom-tip,8,946,974,1095,1132,0.76,4320.0,1791.0,960.0,1132,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,764,791,1096,1133,0.678,3498.75,1786.25,777.5,1133,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,808,837,1109,1147,0.578,3701.25,1719.75,822.5,1147,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,860,888,1111,1148,0.578,3933.0,1715.0,874.0,1148,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,690,718,1126,1163,0.664,3168.0,1643.75,704.0,1163,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,993,1021,1126,1163,0.571,4531.5,1643.75,1007.0,1163,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,740,769,1127,1165,0.664,3395.25,1634.25,754.5,1165,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,9,270,300,1132,1170,0.669,1282.5,1610.5,285.0,1170,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,9,772,800,1166,1203,0.83,3537.0,1453.75,786.0,1203,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,7,220,248,1169,1207,0.638,1053.0,1434.75,234.0,1207,RDO Wildflower Reference Map C,classified,texas-bluebonnet
pin-bottom-tip,8,938,965,1175,1212,0.784,4281.75,1411.0,951.5,1212,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,859,886,1180,1217,0.69,3926.25,1387.25,872.5,1217,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,787,815,1210,1247,0.636,3604.5,1244.75,801.0,1247,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,753,781,1211,1249,0.593,3451.5,1235.25,767.0,1249,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,7,395,423,1238,1278,0.642,1840.5,1097.5,409.0,1278,RDO Wildflower Reference Map C,classified,texas-bluebonnet
pin-bottom-tip,7,201,229,1261,1298,0.618,967.5,1002.5,215.0,1298,RDO Wildflower Reference Map C,classified,texas-bluebonnet
pin-bottom-tip,7,542,570,1273,1311,0.676,2502.0,940.75,556.0,1311,RDO Wildflower Reference Map C,classified,texas-bluebonnet
pin-bottom-tip,9,610,639,1306,1344,0.81,2810.25,784.0,624.5,1344,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,7,317,345,1321,1358,0.741,1489.5,717.5,331.0,1358,RDO Wildflower Reference Map C,classified,texas-bluebonnet
pin-bottom-tip,7,226,253,1342,1380,0.538,1077.75,613.0,239.5,1380,RDO Wildflower Reference Map C,classified,texas-bluebonnet
